,DeID,Transfer Status,HW1,HW2,HW3,HW4,HW5,HW6,HW7,HW8,HW9,Primary Instructor (3rd Week),Enrollment Flag (3rd Week),Enrollment Flag (End of Term),Grade (End of Term)
91,DC1SEHQ8,False,100.0,78.0333333,85.9666667,91.25,34.66666670000001,61.44,90.75999999999999,100.0,89.63499999999999,"Gillespie, Gary N                  ",Y,Y,B+ 
93,DVDFJF4R,False,100.0,81.9666667,90.8666667,98.75,75.56,88.89,92.64,97.3333333,96.975,"Gillespie, Gary N                  ",Y,Y,A  
95,E2MHSBFY,False,100.0,84.3,97.53333330000001,100.0,88.66666670000001,100.0,98.11999999999999,96.86,100.0,"Gillespie, Gary N                  ",Y,Y,A  
97,EAVHVVPD,False,100.0,96.66666670000001,76.83333329999999,100.0,94.66666670000001,94.88,100.0,97.76,100.0,"Gillespie, Gary N                  ",Y,Y,A+ 
99,EFXSJJ4C,False,100.0,84.7,91.7666667,96.25,39.94666670000001,75.02,99.2,91.0466667,94.62,"Gillespie, Gary N                  ",Y,Y,A  
100,EQAUYKTO,False,92.0,78.4333333,85.9666667,90.0,26.0,63.629999999999995,91.72,96.0,94.16499999999999,"Gillespie, Gary N                  ",Y,Y,B  
101,ESOSV3Q9,False,80.0,76.86666670000001,86.3,90.0,77.44,89.83,87.95200000000001,72.0266667,83.82,"Gillespie, Gary N                  ",Y,Y,A- 
102,F19B6TQR,False,100.0,74.9,100.0,97.5,84.0533333,73.89,92.496,96.86,93.4,"Gillespie, Gary N                  ",Y,Y,A  
103,FAEREFGY,False,100.0,83.5333333,95.1,97.5,96.0,100.0,94.368,85.86,97.735,"Gillespie, Gary N                  ",Y,Y,A  
104,FFN5W4T9,False,100.0,88.0333333,88.06666670000001,90.0,81.72,92.16,94.64,100.0,93.33500000000001,"Gillespie, Gary N                  ",Y,Y,A  
105,FJ6AKLC6,False,100.0,86.0666667,85.9666667,97.5,81.44,68.22,93.04,68.83333329999999,80.71000000000001,"Gillespie, Gary N                  ",Y,Y,B  
107,FOZ7CJ8F,False,0.0,31.9666667,64.9,41.25,54.92,1.4,36.312,74.66666670000001,26.565,"Gillespie, Gary N                  ",Y,Y,Grade Pending
108,G396JBRX,False,100.0,72.93333329999999,70.16666670000001,80.0,85.3866667,89.6,86.78399999999999,73.2866667,89.24499999999999,"Gillespie, Gary N                  ",Y,Y,B  
112,GFI1N5NJ,False,80.0,34.1333333,25.4333333,7.5,11.9466667,21.310000000000002,87.68799999999999,86.19333329999999,47.935,"Gillespie, Gary N                  ",Y,Y,U  
113,H4VYAS7V,False,100.0,57.466666700000005,100.0,100.0,98.66666670000001,98.72,100.0,95.3333333,95.32000000000001,"Gillespie, Gary N                  ",Y,Y,A+ 
114,H6CR4T63,False,100.0,96.0666667,93.33333329999999,100.0,92.1066667,100.0,94.368,87.69333329999999,98.49,"Gillespie, Gary N                  ",Y,Y,A  
